"address";"address"
"R. Joaquim Seabra";3
"R. Alexandre Dumas";3
"R. Córrego do Bom Jesus";3
"R. Fábia";3
"R. Joaquim Teles de Mattos";3
"R. Comendador Miguel Calfat";3
"R. Alziro Pinheiro Magalhães";3
"R. Braz Cubas";3
"R. Gaivota";3
"Av. Rio das Pedras";3
"Ac. Pte. Nova Morumbi";3
"Av. Roque Petroni Júnior";3
"Av. Rubéns Montanaro de Borba";3
"R. Gen. Jardim";3
"R. Visc. de Parnaíba";3
"R. Louriçal";3
"Av. Ellis Maas";3
"R. Joaquim Manuel de Macedo";3
"Av. Benedito Andrade";3
"R. Luciano Silva";3
"R. Joaquim Marra";3
"R. São Gonçalo do Rio das Pedras";3
"R. Gen. Flores";3
"R. Brg. Tobias";3
"R. Humberto de Campos";3
"R. Min. Gastão Mesquita";3
"R. Brg. Haroldo Veloso";3
"Tv. Irena Sendler";3
"R. Nelo Bertolacine";3
"R. José Francisco Brandão";3
"R. Alm. Marques de Leão";3
"R. Brg. Gavião Peixoto";3
"R. Breves";3
"R. Miguel Yunes";3
"R. Anhaia";3
"R. São Joaquim";3
"R. Santo Amaro";3
"R. Vanderlei";3
"R. Taquaraçu de Minas";3
"Pte. João Dias";3
"R. Fernando Falcão";3
"R. Barra Mansa";3
"R. Girassol";3
"R. Barra Funda";3
"R. Guirá";3
"R. Rodrigues dos Santos";3
"R. Fernão Dias";3
"R. Roque Petrella";3
"Pça.  Campo de Bagatelle";3
"R. Manoel Dutra";3
"R. Norma Pieruccini Giannotti";3
"R. Maniçoba";3
"R. Gomes de Carvalho";3
"R. Antônio Ribeiro Pina";3
"R. Min. José Geraldo Rodrigues Alckmin";3
"R. Tomazzo Ferrara";3
"Pça.  Franklin Roosevelt";3
"R. Mamud Rahd";3
"R. Leopoldo Miguez";3
"R. Leopoldo Couto de Magalhães Júnior";3
"R. Conselheiro Brotero";3
"R. Apucarana";3
"R. Guaraiuva";3
"R. Tibúrcio de Sousa";3
"R. Aroldo de Azevedo";3
"R. Teodoro Sampaio";3
"Pça.  Panamericana";3
"R. Califórnia";3
"R. Antônio Pedro Ceará";3
"R. Alcântara";3
"R. Nanuque";3
"R. Henry Ford";3
"Av. Antônio Estêvão de Carvalho";3
"R. Natal";3
