"cd_linha";"min";"max";"mean";"median";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
33095;0;47;29.2;33.0;215.57647058823534;14.682522623453892;35;32;8.571428571428575;"201707031600_201707031700";"2017-07-14 16:45:00"
33441;0;62;31.428571428571427;34.0;368.25396825396825;19.189944456771318;28;26;7.14285714285714;"201707031600_201707031700";"2017-07-14 16:45:00"
34396;0;51;25.875;29.5;269.84999999999997;16.427111736394806;16;13;18.75;"201707031600_201707031700";"2017-07-14 16:45:00"
34419;0;54;44.70414201183432;49.0;98.4119470273316;9.920279584131267;169;165;2.3668639053254448;"201707031600_201707031700";"2017-07-14 16:45:00"
34619;0;51;44.05555555555556;49.0;150.46855345911945;12.266562414104428;54;51;5.555555555555558;"201707031600_201707031700";"2017-07-14 16:45:00"
34977;0;51;38.885714285714286;48.0;251.52527472527476;15.859548377090526;105;93;11.428571428571432;"201707031600_201707031700";"2017-07-14 16:45:00"
33058;8;47;26.333333333333332;24.0;384.3333333333333;19.60442127004348;3;3;0.0;"201707041600_201707041700";"2017-07-14 16:45:00"
33093;5;49;30.11764705882353;36.0;212.11029411764707;14.564006801620462;17;17;0.0;"201707041600_201707041700";"2017-07-14 16:45:00"
33095;0;46;31.742857142857144;34.0;102.54957983193275;10.126676643002519;35;34;2.857142857142858;"201707041600_201707041700";"2017-07-14 16:45:00"
33441;0;55;23.125;25.0;452.1774193548387;21.26446376833516;32;20;37.5;"201707041600_201707041700";"2017-07-14 16:45:00"
34396;0;61;30.5;29.5;238.67441860465104;15.449091190249705;44;41;6.818181818181824;"201707041600_201707041700";"2017-07-14 16:45:00"
34419;0;51;27.887323943661972;41.0;543.2042253521132;23.306742057870576;213;129;39.43661971830986;"201707041600_201707041700";"2017-07-14 16:45:00"
34619;0;51;40.46153846153846;49.0;236.75240384615375;15.386760667734901;65;60;7.692307692307687;"201707041600_201707041700";"2017-07-14 16:45:00"
34977;0;53;41.0;48.0;215.74545454545455;14.688276091681233;111;105;5.405405405405405;"201707041600_201707041700";"2017-07-14 16:45:00"
33058;12;55;34.714285714285715;37.0;294.5714285714286;17.16308330607961;7;7;0.0;"201707051600_201707051700";"2017-07-14 16:45:00"
33093;0;52;35.82608695652174;39.0;217.604743083004;14.751431899412477;23;22;4.347826086956519;"201707051600_201707051700";"2017-07-14 16:45:00"
33095;0;45;30.310344827586206;33.0;150.93596059113298;12.285599724520289;29;27;6.896551724137934;"201707051600_201707051700";"2017-07-14 16:45:00"
33441;0;65;36.62068965517241;45.0;482.0295566502463;21.955171524045223;29;25;13.793103448275868;"201707051600_201707051700";"2017-07-14 16:45:00"
34396;0;50;25.166666666666668;26.5;246.07471264367817;15.686768712634166;30;27;9.999999999999998;"201707051600_201707051700";"2017-07-14 16:45:00"
34419;0;54;44.52903225806452;49.0;106.84817762882278;10.336739216446489;155;150;3.2258064516129004;"201707051600_201707051700";"2017-07-14 16:45:00"
34619;0;51;36.377049180327866;49.0;369.43879781420765;19.22079076974222;61;53;13.11475409836066;"201707051600_201707051700";"2017-07-14 16:45:00"
34977;0;53;42.41;48.0;184.14333333333332;13.569942274502619;100;93;6.999999999999995;"201707051600_201707051700";"2017-07-14 16:45:00"
33058;16;50;39.857142857142854;40.5;73.97802197802197;8.601047725598432;14;14;0.0;"201707061600_201707061700";"2017-07-14 16:45:00"
33093;0;47;30.96;37.0;296.37333333333333;17.215496894755415;25;21;16.000000000000004;"201707061600_201707061700";"2017-07-14 16:45:00"
33095;0;51;32.86486486486486;36.0;142.62012012012008;11.942366604660906;37;36;2.7027027027026973;"201707061600_201707061700";"2017-07-14 16:45:00"
33441;0;67;38.4;43.0;507.08333333333326;22.518510903994812;25;22;12.0;"201707061600_201707061700";"2017-07-14 16:45:00"
34396;0;50;28.105263157894736;29.0;203.76608187134505;14.274665735888355;19;17;10.526315789473683;"201707061600_201707061700";"2017-07-14 16:45:00"
34419;0;52;43.248366013071895;49.0;157.187908496732;12.537460209178413;153;146;4.575163398692805;"201707061600_201707061700";"2017-07-14 16:45:00"
