"cd_linha";"min";"max";"mean";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
33477;0;61;13.708879184861718;204.46906098684016;14.299267847929842;687;441;35.80786026200873;"201708161900_201708162000";"2017-08-07 20:52:00"
33479;0;49;8.104878048780488;119.15523287017717;10.915824882718537;410;222;45.853658536585364;"201708161900_201708162000";"2017-08-07 20:52:00"
33481;0;47;13.453237410071942;157.1085223630278;12.534293851790286;1112;799;28.14748201438849;"201708161900_201708162000";"2017-08-07 20:52:00"
33482;0;44;12.279661016949152;156.3741127046212;12.504963522722536;118;77;34.7457627118644;"201708161900_201708162000";"2017-08-07 20:52:00"
33486;0;48;10.433890577507599;160.74771747547007;12.678632318805924;1316;720;45.2887537993921;"201708161900_201708162000";"2017-08-07 20:52:00"
33488;0;44;13.59748427672956;131.91290502348534;11.485334345306859;159;115;27.672955974842772;"201708161900_201708162000";"2017-08-07 20:52:00"
33502;0;53;8.954741379310345;154.26360598048714;12.420290092444988;464;235;49.353448275862064;"201708161900_201708162000";"2017-08-07 20:52:00"
33506;0;51;11.83768115942029;202.33936181401305;14.224604100431515;690;382;44.637681159420296;"201708161900_201708162000";"2017-08-07 20:52:00"
33514;0;56;20.62309368191721;203.8510812379292;14.277642705920652;459;391;14.814814814814813;"201708161900_201708162000";"2017-08-07 20:52:00"
33515;0;52;9.650779896013864;148.69580598273484;12.194088977153433;1154;645;44.107452339688045;"201708161900_201708162000";"2017-08-07 20:52:00"
33516;0;62;17.539634146341463;306.561115462072;17.50888675678931;328;205;37.5;"201708161900_201708162000";"2017-08-07 20:52:00"
33534;0;49;11.687388987566607;143.90565918471833;11.99606848866404;563;390;30.728241563055057;"201708161900_201708162000";"2017-08-07 20:52:00"
33535;0;44;9.150905432595573;124.40258486402267;11.153590671349862;497;274;44.86921529175051;"201708161900_201708162000";"2017-08-07 20:52:00"
33536;0;43;12.963975155279503;124.66909860634722;11.165531720717434;805;623;22.608695652173914;"201708161900_201708162000";"2017-08-07 20:52:00"
33538;0;55;9.78494623655914;173.44934186132747;13.170016775286486;465;221;52.47311827956989;"201708161900_201708162000";"2017-08-07 20:52:00"
33539;0;54;15.410377358490566;182.3094652597692;13.50220223740443;212;162;23.584905660377352;"201708161900_201708162000";"2017-08-07 20:52:00"
33540;0;53;15.358078602620088;215.58174366046114;14.682702192051066;229;165;27.947598253275107;"201708161900_201708162000";"2017-08-07 20:52:00"
33543;0;51;11.218623481781377;204.7081070405846;14.307624087897494;247;130;47.36842105263158;"201708161900_201708162000";"2017-08-07 20:52:00"
33544;0;57;9.605042016806722;163.26210933811734;12.777406205412635;357;214;40.056022408963585;"201708161900_201708162000";"2017-08-07 20:52:00"
33548;0;57;13.183023872679046;176.67120040634344;13.291771906196082;377;267;29.17771883289124;"201708161900_201708162000";"2017-08-07 20:52:00"
33549;0;43;14.209821428571429;132.35488068545808;11.504559126079455;224;174;22.32142857142857;"201708161900_201708162000";"2017-08-07 20:52:00"
33550;0;50;9.073282442748091;165.4380465485446;12.862272215613562;655;294;55.11450381679389;"201708161900_201708162000";"2017-08-07 20:52:00"
33551;0;50;15.79111111111111;184.32670634920638;13.576697181170625;225;180;19.999999999999996;"201708161900_201708162000";"2017-08-07 20:52:00"
33553;0;51;15.810055865921788;238.66410027698217;15.448757240534986;358;263;26.536312849162012;"201708161900_201708162000";"2017-08-07 20:52:00"
33555;0;50;9.36969696969697;177.08810051736882;13.307445303940527;165;80;51.515151515151516;"201708161900_201708162000";"2017-08-07 20:52:00"
33556;0;54;9.02836879432624;167.65755533681627;12.948264568536445;282;141;50.0;"201708161900_201708162000";"2017-08-07 20:52:00"
33558;0;57;15.5;313.47285067873315;17.70516451995669;222;137;38.288288288288285;"201708161900_201708162000";"2017-08-07 20:52:00"
33561;0;51;10.994535519125684;190.56590404131387;13.804560986909864;183;94;48.63387978142077;"201708161900_201708162000";"2017-08-07 20:52:00"
33564;0;47;8.963855421686747;168.510785075787;12.98117040469722;249;124;50.20080321285141;"201708161900_201708162000";"2017-08-07 20:52:00"
33566;0;51;18.36101083032491;217.9923873803171;14.764565262151036;277;227;18.050541516245488;"201708161900_201708162000";"2017-08-07 20:52:00"
33569;0;46;10.356;138.9932369477912;11.789539301762016;250;155;38.0;"201708161900_201708162000";"2017-08-07 20:52:00"
33571;0;50;11.828703703703704;165.76121877691645;12.874828883403323;216;137;36.57407407407407;"201708161900_201708162000";"2017-08-07 20:52:00"
33573;0;49;9.401098901098901;156.87138000121433;12.524830537824228;182;92;49.45054945054945;"201708161900_201708162000";"2017-08-07 20:52:00"
33575;0;50;10.862179487179487;142.17708590980286;11.923803332402077;312;185;40.705128205128204;"201708161900_201708162000";"2017-08-07 20:52:00"
33576;0;50;11.711229946524064;191.64734632856076;13.84367531866306;187;99;47.05882352941176;"201708161900_201708162000";"2017-08-07 20:52:00"
33577;0;54;15.442307692307692;237.51356373095498;15.411475066681806;208;141;32.21153846153846;"201708161900_201708162000";"2017-08-07 20:52:00"
33578;0;56;16.62049062049062;235.23871247570662;15.33749368298832;693;508;26.695526695526695;"201708161900_201708162000";"2017-08-07 20:52:00"
33581;0;54;15.769110764430577;200.77160686427467;14.169389784471125;641;497;22.46489859594384;"201708161900_201708162000";"2017-08-07 20:52:00"
33585;0;46;16.276859504132233;207.01431706731583;14.387992113818934;242;175;27.685950413223136;"201708161900_201708162000";"2017-08-07 20:52:00"
33595;0;50;11.855345911949685;164.22506596829555;12.815032811830626;318;207;34.905660377358494;"201708161900_201708162000";"2017-08-07 20:52:00"
33596;0;61;18.359477124183005;266.6703525125897;16.33004447368683;306;244;20.261437908496728;"201708161900_201708162000";"2017-08-07 20:52:00"
33599;0;58;16.78745644599303;213.32180015106852;14.60554004996284;287;216;24.73867595818815;"201708161900_201708162000";"2017-08-07 20:52:00"
33600;0;49;14.026706231454005;171.53202274975283;13.097023430907987;337;239;29.08011869436202;"201708161900_201708162000";"2017-08-07 20:52:00"
33601;0;43;16.627906976744185;142.1439645625692;11.922414376399153;43;37;13.953488372093027;"201708161900_201708162000";"2017-08-07 20:52:00"
33609;0;54;14.27560975609756;229.89206869819287;15.162192080902843;410;273;33.41463414634146;"201708161900_201708162000";"2017-08-07 20:52:00"
33610;0;55;17.822222222222223;239.01660470879807;15.460161859075024;270;224;17.037037037037038;"201708161900_201708162000";"2017-08-07 20:52:00"
33611;0;55;14.216828478964402;206.17685873996547;14.358859938726523;309;234;24.271844660194176;"201708161900_201708162000";"2017-08-07 20:52:00"
33613;0;51;15.403940886699507;205.7469150855974;14.343880754021814;203;155;23.645320197044338;"201708161900_201708162000";"2017-08-07 20:52:00"
33614;0;62;13.229166666666666;195.32593559617072;13.975905537609028;384;257;33.072916666666664;"201708161900_201708162000";"2017-08-07 20:52:00"
33615;0;53;17.646153846153847;260.41971153846146;16.137524950823824;65;42;35.38461538461538;"201708161900_201708162000";"2017-08-07 20:52:00"
33624;0;57;16.480392156862745;277.14223722275784;16.647589531903947;306;215;29.738562091503272;"201708161900_201708162000";"2017-08-07 20:52:00"
33625;0;54;11.82638888888889;226.82689701897024;15.06077345354382;288;151;47.56944444444444;"201708161900_201708162000";"2017-08-07 20:52:00"
33628;0;55;15.25;211.8274509803922;14.55429321473194;256;189;26.171875;"201708161900_201708162000";"2017-08-07 20:52:00"
33629;0;61;12.829508196721312;217.4782739777651;14.747144604219661;610;382;37.37704918032787;"201708161900_201708162000";"2017-08-07 20:52:00"
